ParName   Value   Gradient
MGparm[3]      17.5607 4.75235e-005
SR_parm[1]      8.40324  0.000255461
recdev_early(20)    -0.564185 -5.01826e-005
recdev_early(21)      2.17875 -3.23557e-005
recdev_early(22)    -0.696195  1.7803e-006
recdev_early(23)     -1.35181 1.83573e-006
recdev_early(24)     -1.81684 -1.22197e-006
recdev_early(25)     -1.98875 -4.22914e-007
recdev_early(26)     -2.14572 3.16269e-006
recdev_early(27)      -1.7784 2.24581e-006
recdev_early(28)     0.410088 -2.82877e-007
recdev_early(29)    -0.367397 6.90118e-006
recdev1(30)   -0.0110813 -1.91705e-006
recdev1(31)     0.777868 -3.80821e-006
recdev1(32)     -1.00661 -6.91825e-007
recdev1(33)     -0.57159 -2.88047e-006
recdev1(34)     0.748564 3.40266e-006
recdev1(35)     -1.53084 -3.88174e-006
recdev1(36)     -1.54436 -2.5563e-006
recdev1(37)      1.49055 1.07799e-005
recdev1(38)      2.02074 2.17883e-005
recdev1(39)     0.136581 -3.91026e-006
recdev1(40)     0.523958 2.98473e-006
recdev1(41)      2.22228 2.35216e-005
recdev1(42)     -1.31094 -5.8281e-006
recdev1(43)     -2.06134 -5.37654e-006
recdev1(44)      1.58291 2.05364e-007
recdev1(45)      1.16961 -4.45641e-006
recdev1(46)     0.280767 -4.91894e-006
recdev1(47)     0.175289 -6.16658e-006
recdev1(48)      1.37972 7.58475e-007
recdev1(49)     0.873601 2.34355e-006
recdev1(50)     0.321405 4.56304e-006
recdev1(51)      1.00195 7.13135e-006
recdev1(52)      1.86488 1.25193e-005
recdev1(53)       2.3647 1.86179e-005
recdev1(54)    -0.333806 -4.63472e-006
recdev1(55)     0.622461 -1.57803e-007
recdev1(56)   -0.0256657 -9.34503e-007
recdev1(57)    -0.499656 2.96547e-006
recdev1(58)      1.20168 2.80447e-006
recdev1(59)    -0.375107 -6.1593e-006
recdev1(60)     0.410791 3.82652e-006
recdev1(61)     0.517086 4.30966e-006
recdev1(62)     0.506607 -2.37565e-006
recdev1(63)    -0.635404 -3.30216e-006
recdev1(64)     0.235953 -5.50322e-006
recdev1(65)      1.68959 1.45121e-005
recdev1(66)     -1.28651 -4.3058e-006
recdev1(67)     -2.50413 -4.76822e-006
recdev1(68)     -2.19859 -3.3319e-006
recdev1(69)     -1.61097 -3.32022e-006
recdev1(70)     0.486624 -3.45926e-006
recdev1(71)      1.31824 1.18558e-006
recdev1(72)     -2.63513 -6.06191e-006
recdev1(73)       -3.383 -4.11189e-006
recdev1(74)     -2.06124 -5.67322e-006
recdev1(75)     0.306455 -2.31076e-005
recdev1(76)    -0.644899 -1.44411e-005
Fcast_recruitments(77)    -0.150719 -1.56429e-005
Fcast_recruitments(78)     -2.75785 -1.68768e-006
Fcast_recruitments(79)            0            0
Fcast_recruitments(80)            0            0
