ParName   Value   Gradient
MGparm[4]     0.238864 -1.78488e-05
SR_parm[1]      17.9244 -8.22917e-06
recdev1(30)     -1.98415  7.24527e-07
recdev1(31)     -1.37572  2.34221e-07
recdev1(32)     -0.49567  5.58758e-06
recdev1(33)     -1.34696 -1.93239e-06
recdev1(34)     -1.58171 -1.42005e-06
recdev1(35)     -1.14701  1.51992e-07
recdev1(36)      -1.2965  1.43156e-06
recdev1(37)     -2.97406 -3.90102e-07
recdev1(38)     0.652411  2.77923e-06
recdev1(39)      1.34575 -1.02556e-05
recdev1(40)       1.2874 -5.35218e-07
recdev1(41)    -0.368285   7.8945e-07
recdev1(42)      2.22629  5.89506e-06
recdev1(43)     0.445142  1.63733e-06
recdev1(44)     -0.84018  9.26399e-07
recdev1(45)       1.8761  1.52537e-06
recdev1(46)      0.61844 -1.11784e-06
recdev1(47)      1.18203  3.07344e-06
recdev1(48)     0.224348  1.44211e-07
recdev1(49)      1.65346 -3.68556e-07
recdev1(50)     0.796134 -1.05434e-06
recdev1(51)     0.959483 -3.64355e-07
recdev1(52)      1.93029  4.42097e-07
recdev1(53)      2.23703  9.17563e-07
recdev1(54)        3.625 -2.72016e-06
recdev1(55)   -0.0571921 -3.24588e-09
recdev1(56)      2.01578  1.29731e-06
recdev1(57)      1.34233  3.38972e-06
recdev1(58)     0.312439  3.40238e-06
recdev1(59)      1.96262  1.95106e-06
recdev1(60)    -0.148571  5.68037e-07
recdev1(61)      1.27341 -3.60328e-07
recdev1(62)     0.187196  6.95284e-07
recdev1(63)      0.46411  2.07874e-07
recdev1(64)     0.754484 -2.06946e-06
recdev1(65)    -0.236648 -4.50759e-07
recdev1(66)      1.72535 -4.84686e-07
recdev1(67)     -1.95487  2.19737e-07
recdev1(68)     -2.61628  6.81455e-08
recdev1(69)      -1.8939 -9.60739e-07
recdev1(70)    -0.222945 -1.08366e-06
recdev1(71)    -0.654196   -4.794e-07
recdev1(72)     0.616428  5.33355e-07
recdev1(73)     -3.34223 -2.23531e-07
recdev1(74)     -1.98366  1.09659e-06
recdev1(75)     -2.38835  5.74406e-07
recdev1(76)     -1.00201  2.46149e-06
recdev1(77)     -3.08784  7.76334e-07
recdev1(78)     -1.38978  1.60141e-06
recdev1(79)      2.67529  4.62925e-07
Fcast_recruitments(80)            0            0
selparm[1]            2     -2.08139
selparm[2]  6.86081e-06      6.96493
