ParName   Value   Gradient
MGparm[3]      21.4636    0.0441877
SR_parm[1]       8.9324     0.330385
recdev_early(20)     -4.71613   0.00168983
recdev_early(21)    -0.943611    0.0113173
recdev_early(22)    -0.386822    0.0192464
recdev_early(23)     0.163944    0.0312476
recdev_early(24)    -0.195934    0.0208765
recdev_early(25)    0.0836238    0.0241145
recdev_early(26)     -0.96108   0.00730015
recdev_early(27)    -0.821254   0.00670539
recdev_early(28)     -0.78803   0.00510164
recdev_early(29)    -0.287152   0.00556849
recdev1(30)     0.246288   0.00441792
recdev1(31)    -0.134428   0.00282647
recdev1(32)    -0.231836   0.00264288
recdev1(33)    -0.977619  0.000763032
recdev1(34)    -0.753539    0.0011192
recdev1(35)    -0.768661  0.000844557
recdev1(36)     -1.50035 -0.000171194
recdev1(37)   -0.0683971   0.00160384
recdev1(38)     0.529204   0.00272183
recdev1(39)      0.69605   0.00237242
recdev1(40)     0.560409   0.00134168
recdev1(41)     0.782297   0.00142717
recdev1(42)       1.1119   0.00170198
recdev1(43)    -0.210348  -0.00030783
recdev1(44)     0.223913 -0.000124071
recdev1(45)     0.669567  0.000165197
recdev1(46)    0.0564133 -0.000396126
recdev1(47)   -0.0596513 -0.000561462
recdev1(48)    -0.124288 -0.000582605
recdev1(49)     0.159111 -0.000525609
recdev1(50)    -0.400717 -0.000695326
recdev1(51)    -0.441561 -0.000740218
recdev1(52)     0.569029 -0.000553182
recdev1(53)     0.877382 -0.000513356
recdev1(54)      1.20081 -0.000392291
recdev1(55)    0.0213668 -0.000711125
recdev1(56)      0.23294 -0.000693099
recdev1(57)   -0.0488278 -0.000802636
recdev1(58)    0.0135056 -0.000769417
recdev1(59)     0.382347  -0.00078005
recdev1(60)    -0.272803 -0.000824243
recdev1(61)     0.117978 -0.000838192
recdev1(62)   -0.0919972  -0.00082117
recdev1(63)    -0.230695  -0.00083104
recdev1(64)     0.133622 -0.000872763
recdev1(65)     0.592405  -0.00079903
recdev1(66)     0.937493  -0.00077623
recdev1(67)     -0.47892 -0.000887676
recdev1(68)     -1.66015 -0.000833724
recdev1(69)     -1.18655 -0.000866947
recdev1(70)     0.328897 -0.000868509
recdev1(71)     0.765916 -0.000896025
recdev1(72)     0.992762 -0.000912097
recdev1(73)     -1.55225  -0.00084935
recdev1(74)    -0.899228 -0.000858037
recdev1(75)    -0.393723 -0.000904713
recdev1(76)      0.28494 -0.000938999
Fcast_recruitments(77)    -0.488338  -3.148e-005
Fcast_recruitments(78)     -0.21582 -2.24914e-005
Fcast_recruitments(79)            0            0
Fcast_recruitments(80)            0            0
